province,latitude,longitude,rainfall,soil_ph,crop,yield,year
West Nusa Tenggara,-8.604,117.6406,1994,6.46,Soybeans,2.18,2023
East Kalimantan,1.472,117.7521,2717,4.91,Rubber,0.95,2018
North Sumatra,3.6697,98.7179,2789,5.34,Rice,5.12,2018
West Nusa Tenggara,-8.5087,119.0327,1822,6.29,Corn,4.89,2021
Lampung,-4.798,105.2647,1906,5.39,Coffee,1.46,2023
Papua,-2.9104,139.6108,3576,5.87,Rice,5.54,2021
Central Java,-7.2028,110.9724,2666,5.06,Rice,4.05,2018
Papua,-4.375,140.3237,3684,5.66,Cassava,10.04,2022
Southeast Sulawesi,-4.2873,122.7758,2169,5.21,Rice,4.69,2022
Jambi,-1.0872,102.1019,2142,5.5,Rice,4.58,2023
West Kalimantan,-1.1007,111.3113,3228,5.13,Palm Oil,4.22,2019
North Kalimantan,1.6695,114.8175,3044,4.79,Palm Oil,2.95,2024
Southeast Sulawesi,-3.6054,121.4418,2455,6.01,Cashew,0.87,2015
West Sulawesi,-3.0869,118.8043,1822,5.15,Cocoa,1.35,2021
Aceh,4.1897,97.7979,2661,5.24,Coffee,1.38,2023
Aceh,2.8491,97.6169,2205,5.5,Rice,4.57,2019
South Kalimantan,-2.474,115.4797,2728,5.34,Palm Oil,3.99,2018
Jambi,-1.2562,102.1276,2554,5.38,Rice,4.06,2016
Maluku,-7.7355,131.3383,2858,6.58,Coconut,3.51,2018
Aceh,4.4937,96.014,2328,5.43,Rice,4.61,2015
West Sulawesi,-2.5897,119.4794,1934,6.21,Coconut,3.38,2023
West Sumatra,-1.1189,98.763,2761,5.44,Rice,5.07,2017
Central Sulawesi,-3.0823,122.2491,2391,5.91,Rice,5.46,2021
Papua,-3.1029,136.3792,3390,4.75,Cassava,7.73,2023
South Kalimantan,-2.8702,115.9613,2976,5.06,Rubber,0.97,2023
East Nusa Tenggara,-8.5238,120.1276,1207,6.4,Corn,4.55,2016
Jakarta Special Capital Region,-6.3346,106.8972,1967,5.5,Fruit,3.6,2017
North Maluku,-1.6586,128.1278,2669,6.5,Nutmeg,0.87,2016
Riau,1.5047,102.2224,2656,5.05,Palm Oil,3.58,2023
South Sumatra,-3.227,105.8596,2434,5.21,Rubber,0.97,2016
Bangka-Belitung Islands,-3.0235,107.952,2259,5.32,Rubber,0.97,2018
West Sulawesi,-2.2853,119.2253,2307,5.6,Rice,4.77,2016
West Sulawesi,-2.7448,118.8383,2234,5.27,Cocoa,1.89,2016
Riau,0.7336,101.6102,2522,4.5,Palm Oil,3.31,2024
Special Region of Yogyakarta,-7.9578,110.759,2541,6.38,Soybeans,2.44,2019
Jakarta Special Capital Region,-6.1444,106.8291,1611,5.6,Fruit,3.74,2020
South Kalimantan,-2.511,115.1429,2852,5.21,Rubber,1.07,2023
West Papua,-2.7852,133.4621,3689,5.03,Sago,11.56,2019
Central Java,-6.9991,110.3535,3067,5.99,Rice,4.37,2019
North Sulawesi,0.3784,123.5207,2590,5.5,Rice,5.15,2021
Riau,2.0179,101.6809,2663,5.51,Rubber,0.93,2017
West Nusa Tenggara,-8.284,116.387,2044,6.4,Corn,4.25,2020
West Sulawesi,-2.975,119.1472,2168,5.22,Cocoa,1.84,2024
Papua,-3.5212,138.5877,3868,5.27,Cassava,8.91,2017
Central Java,-6.924,110.6382,2736,6.23,Corn,4.14,2017
West Papua,-1.1745,131.9598,3659,6.09,Sweet Potato,14.03,2024
Special Region of Yogyakarta,-7.9797,110.4903,2653,5.27,Rice,5.08,2018
East Kalimantan,0.2934,115.7821,2829,4.79,Palm Oil,4.11,2024
Special Region of Yogyakarta,-7.8818,110.4242,2393,5.79,Corn,3.57,2023
Bengkulu,-2.5577,101.5951,2365,6.16,Coffee,1.32,2015
East Java,-7.0578,112.7352,2507,5.81,Rice,4.84,2015
Bengkulu,-5.3574,102.1857,2536,5.09,Coffee,1.35,2019
Central Kalimantan,-1.7755,111.5661,3084,5.07,Rubber,0.9,2024
Southeast Sulawesi,-3.4737,122.087,2213,5.6,Cashew,1.0,2020
Jambi,-2.0216,102.9388,2236,5.04,Rubber,0.97,2020
West Papua,-1.4887,132.0565,3829,6.24,Sweet Potato,13.57,2016
East Nusa Tenggara,-9.8636,124.2362,1248,5.05,Cocoa,1.68,2016
West Papua,-2.9314,133.516,3163,5.79,Cassava,8.62,2020
South Sumatra,-3.0294,105.0468,2008,4.9,Palm Oil,3.36,2020
South Kalimantan,-2.7739,116.0408,3164,4.71,Rubber,0.78,2018
East Nusa Tenggara,-8.8797,121.0372,1648,5.37,Cassava,8.36,2016
Bangka-Belitung Islands,-2.6758,106.0794,1830,5.5,Pepper,0.96,2024
North Sumatra,1.6101,100.1045,2575,4.93,Rubber,0.94,2024
Jakarta Special Capital Region,-6.1281,106.8833,1670,5.5,Fruit,3.94,2019
East Java,-7.5384,112.3946,2455,5.57,Tobacco,2.02,2017
West Nusa Tenggara,-8.7885,117.0153,1840,5.14,Rice,4.55,2020
Central Java,-7.5292,108.8823,2702,6.25,Corn,4.45,2020
Maluku,-5.5005,134.625,2957,5.43,Cloves,1.01,2018
Central Sulawesi,-2.6588,121.7639,2526,5.6,Corn,4.37,2021
East Kalimantan,-0.5031,116.0641,2787,4.5,Rubber,0.97,2018
Aceh,3.8492,97.8834,2549,5.96,Corn,4.26,2019
Bangka-Belitung Islands,-1.6462,105.4697,1903,5.74,Rice,4.69,2017
Gorontalo,0.5861,121.8549,2524,6.06,Soybeans,2.11,2021
South Kalimantan,-3.271,115.018,2711,5.3,Rubber,0.84,2015
North Kalimantan,4.1318,117.6407,2417,4.89,Rubber,0.93,2023
North Sumatra,3.554,97.9859,3044,5.12,Rubber,0.94,2018
Special Region of Yogyakarta,-7.8297,110.4595,2315,6.0,Soybeans,2.08,2023
South Sumatra,-4.2178,104.6328,2212,5.21,Rubber,1.02,2021
West Papua,-2.5215,133.1445,3176,5.36,Sago,10.61,2016
West Papua,-2.1203,132.1237,3766,6.3,Rice,4.49,2016
Jambi,-2.0288,101.3119,2426,5.45,Coffee,1.48,2024
Riau,0.7836,100.4185,2153,5.58,Palm Oil,3.23,2021
Bali,-8.2428,115.1637,1984,5.42,Rice,5.25,2020
West Kalimantan,1.2124,109.3127,3148,5.6,Palm Oil,3.91,2020
North Maluku,-1.4621,127.7555,3241,5.59,Rice,4.37,2019
East Java,-8.1714,112.4601,2693,6.19,Corn,3.82,2022
Bangka-Belitung Islands,-1.7742,105.6708,1882,5.39,Rubber,0.83,2021
Special Region of Yogyakarta,-8.0484,110.7153,2575,6.95,Soybeans,2.17,2016
Bali,-8.1345,114.4481,2350,6.1,Fruit,3.35,2023
Central Kalimantan,-2.2734,111.2127,3365,6.4,Rice,3.78,2016
Jambi,-1.9337,103.2277,2324,5.06,Rice,4.91,2024
East Kalimantan,-2.2117,115.9792,2427,5.84,Rubber,0.81,2019
South Sumatra,-2.884,102.2855,2112,5.59,Palm Oil,3.81,2015
Special Region of Yogyakarta,-8.0593,110.4445,2551,6.69,Corn,4.13,2017
West Java,-6.7504,107.6194,2859,4.61,Tea,1.96,2018
West Nusa Tenggara,-8.3742,116.2653,1758,5.59,Rice,4.51,2015
Special Region of Yogyakarta,-7.7543,110.1903,2819,6.2,Corn,4.64,2018
East Kalimantan,0.6404,114.2853,2905,4.98,Palm Oil,4.0,2024
West Sumatra,-1.2391,100.6517,2566,5.37,Rice,4.77,2019
North Sumatra,2.3717,98.8706,3208,5.12,Rubber,0.88,2019
West Nusa Tenggara,-8.4922,116.3565,1403,5.84,Corn,3.98,2020
Special Region of Yogyakarta,-8.12,110.6564,2719,6.76,Corn,4.67,2019
West Java,-7.5417,108.4532,3196,5.39,Rice,4.08,2023
Special Region of Yogyakarta,-7.9626,110.3328,3177,6.42,Soybeans,2.26,2022
Central Sulawesi,-1.595,121.5541,2619,5.0,Cocoa,1.57,2023
West Sulawesi,-3.2802,118.9505,1680,5.0,Cocoa,1.3,2024
East Nusa Tenggara,-9.9337,124.2498,944,6.38,Rice,4.11,2015
Papua,-4.4814,139.7682,3642,4.89,Sago,11.33,2019
South Kalimantan,-2.755,115.2444,2975,5.15,Palm Oil,3.78,2023
Gorontalo,0.5624,121.5701,2394,6.21,Corn,4.37,2023
Central Kalimantan,-2.4323,114.056,2942,4.91,Palm Oil,3.98,2019
East Kalimantan,0.0169,115.3098,2965,5.47,Palm Oil,3.34,2016
Southeast Sulawesi,-3.1044,121.3645,2080,5.7,Cocoa,1.88,2024
West Nusa Tenggara,-8.776,118.4588,1692,5.63,Corn,3.83,2022
Maluku,-3.5336,130.2961,3083,6.05,Coconut,3.95,2020
West Kalimantan,-0.5883,110.049,3299,4.96,Palm Oil,4.09,2017
West Java,-6.5578,107.4424,2916,6.26,Coffee,1.42,2021
Aceh,3.8327,97.5331,2418,5.51,Rice,4.62,2015
Riau,1.4248,100.642,2834,6.08,Coconut,3.56,2017
East Nusa Tenggara,-9.3098,124.9684,1211,5.77,Rice,5.24,2018
Lampung,-4.4316,104.9019,2147,5.77,Coffee,1.46,2022
East Kalimantan,1.485,116.4458,2645,5.81,Rice,4.83,2021
East Kalimantan,0.8677,115.4496,2706,5.57,Rice,4.38,2015
Lampung,-4.3497,105.7637,2180,5.19,Rice,4.16,2023
West Papua,-1.5412,132.3824,3540,5.89,Sweet Potato,15.75,2023
Lampung,-5.3654,104.4143,1785,5.94,Rice,4.34,2017
Lampung,-4.9606,105.2645,2112,6.0,Sugarcane,7.0,2019
Banten,-6.7217,106.0797,2015,5.67,Corn,4.43,2022
Southeast Sulawesi,-3.2532,121.0676,2309,5.5,Cashew,0.87,2021
Banten,-6.3507,106.1466,1908,5.56,Rice,5.12,2021
Southeast Sulawesi,-3.4318,122.1195,2090,5.63,Rice,5.42,2022
West Sumatra,-0.8515,101.3493,2386,5.2,Tea,1.7,2021
West Kalimantan,-0.3651,112.8998,3300,6.04,Rice,5.08,2021
West Sulawesi,-1.8188,119.8149,2374,6.35,Coconut,3.42,2018
South Sumatra,-3.1792,105.968,1883,4.68,Rubber,0.76,2023
South Sumatra,-4.6677,104.1937,2477,5.32,Rubber,0.93,2022
Jambi,-2.483,102.4847,2276,5.0,Coffee,1.4,2019
Riau,1.3556,100.7715,2557,5.11,Rubber,0.97,2016
North Kalimantan,1.8085,114.7345,2640,5.77,Rice,4.87,2022
North Sumatra,3.3349,99.3582,2975,5.95,Rice,4.19,2017
South Sumatra,-3.2891,103.5614,2249,4.5,Palm Oil,3.91,2022
North Kalimantan,3.7602,116.9376,2611,6.26,Rice,4.66,2024
East Kalimantan,1.6468,116.7215,2874,5.36,Palm Oil,3.89,2015
West Sulawesi,-2.9986,119.2917,2251,5.27,Cocoa,1.61,2022
Papua,-8.7802,140.9941,3118,5.81,Sweet Potato,12.11,2021
Riau,-0.7077,103.2727,2592,6.83,Coconut,3.76,2016
West Papua,-2.6309,134.164,3509,5.01,Cassava,9.19,2015
Bali,-8.3791,114.6365,2186,5.48,Rice,4.86,2018
South Kalimantan,-3.9972,116.1496,2656,4.96,Rubber,0.89,2017
South Sulawesi,-5.3891,119.8356,2228,5.43,Cocoa,1.72,2024
South Sumatra,-3.4406,103.502,2296,5.19,Palm Oil,4.34,2020
West Papua,-3.0731,133.4447,3594,5.18,Sago,12.29,2020
Maluku,-7.6356,131.465,3139,5.52,Coconut,3.66,2020
South Kalimantan,-1.4085,115.6307,2922,4.88,Rubber,0.96,2018
Maluku,-7.4642,131.4934,3222,5.16,Cloves,0.94,2021
West Nusa Tenggara,-8.4407,118.2785,1806,6.0,Soybeans,2.42,2016
Special Region of Yogyakarta,-8.1599,110.7021,2900,5.88,Rice,4.37,2021
West Java,-7.3186,106.3853,3111,5.48,Coffee,1.31,2018
Gorontalo,0.7332,122.8769,2105,5.62,Cashew,0.92,2024
Gorontalo,0.3731,123.4695,2161,5.88,Cashew,0.92,2020
North Sulawesi,0.6196,123.8653,2037,5.2,Rice,3.67,2023
East Java,-7.281,112.3805,2850,5.8,Rice,4.4,2023
South Sumatra,-1.9273,104.0299,2233,5.75,Rubber,0.94,2017
Central Kalimantan,-2.5515,111.9781,2532,4.93,Palm Oil,3.49,2019
East Java,-7.7338,113.0664,2410,6.43,Corn,4.43,2023
Riau,-0.0314,101.3173,2775,4.99,Palm Oil,3.69,2015
Maluku,-8.1317,127.9246,3199,6.28,Coconut,3.79,2017
West Sumatra,-1.173,100.8085,2942,5.19,Rice,4.07,2020
Riau,2.1513,100.7542,2575,4.95,Rubber,0.94,2018
Central Kalimantan,-2.6428,113.0486,3201,4.95,Palm Oil,3.41,2022
Central Sulawesi,0.5734,120.0667,2391,5.65,Rice,5.25,2020
East Kalimantan,0.2343,117.363,2909,5.44,Rubber,1.0,2019
Jakarta Special Capital Region,-6.129,106.844,1822,5.52,Fruit,3.83,2022
Banten,-6.6125,106.4013,1930,5.61,Rice,4.55,2018
Central Java,-7.3884,109.6873,2849,6.16,Corn,4.86,2020
North Maluku,1.1932,127.5408,2803,5.5,Nutmeg,0.91,2020
East Nusa Tenggara,-10.7599,122.9745,1483,5.75,Rice,4.96,2016
Gorontalo,0.4869,121.8847,2470,5.35,Rice,4.16,2023
East Kalimantan,1.4445,116.4842,2432,5.46,Rice,4.24,2024
South Sulawesi,-2.5654,120.4277,2160,5.97,Cashew,1.06,2020
Banten,-6.1278,106.2942,1585,6.46,Coconut,3.4,2016
Special Region of Yogyakarta,-7.7291,110.3525,2796,5.98,Corn,4.03,2022
South Kalimantan,-2.4185,115.8,2914,5.5,Rice,5.31,2018
West Papua,-2.036,132.2351,3344,4.99,Sago,11.49,2022
West Sumatra,-0.3184,100.8183,2557,5.06,Tea,1.78,2018
South Sumatra,-3.8286,103.7128,2053,5.43,Rice,4.89,2016
Central Java,-7.0367,109.5514,3153,6.01,Rice,4.11,2018
Central Java,-7.6377,111.0213,2427,5.47,Rice,3.93,2020
Central Kalimantan,-1.788,114.7432,3043,5.73,Rice,4.81,2021
North Sumatra,0.7694,99.2916,2501,6.1,Rice,4.11,2015
Central Java,-6.8556,110.6309,2953,5.8,Rice,4.56,2024
Special Region of Yogyakarta,-7.9719,110.3162,2971,6.35,Corn,4.22,2019
East Nusa Tenggara,-8.2523,124.9906,1439,6.02,Rice,4.8,2019
West Papua,-0.0527,130.664,3700,4.82,Sago,11.12,2024
Jakarta Special Capital Region,-6.2055,106.8486,1916,5.5,Fruit,4.06,2021
Aceh,2.5713,97.802,2600,5.64,Rice,4.44,2020
Jambi,-1.5345,102.5972,2123,5.56,Rice,4.22,2018
Bangka-Belitung Islands,-2.0284,105.3744,2153,5.12,Rubber,0.9,2015
East Kalimantan,1.3148,114.2338,2862,5.47,Rubber,0.87,2016
North Sulawesi,1.5473,125.1043,2493,6.32,Coconut,4.46,2020
Maluku,-6.5468,134.2025,3276,6.44,Coconut,3.49,2019
West Sulawesi,-3.1003,119.4239,2230,5.16,Rice,4.74,2021
Lampung,-4.1652,105.573,2094,6.25,Sugarcane,6.18,2022
Central Java,-7.3808,110.7999,3056,5.76,Rice,4.72,2015
Lampung,-4.9308,103.6505,1636,5.19,Rice,3.56,2016
West Sumatra,-2.0011,101.2,2847,5.38,Rice,5.06,2019
Papua,-7.4619,138.7802,3672,5.87,Sweet Potato,14.22,2023
West Java,-7.4769,108.3943,2963,5.66,Rice,5.07,2021
Bangka-Belitung Islands,-1.7155,108.7427,1926,5.15,Rubber,0.99,2017
North Maluku,-0.6341,128.1794,2683,6.24,Coconut,3.76,2018
West Sulawesi,-1.808,119.5313,2125,5.13,Cocoa,1.57,2021
Riau Islands,2.534,108.9907,2684,6.46,Coconut,3.79,2015
North Sulawesi,0.6679,123.7978,2684,6.61,Coconut,3.59,2022
Riau,0.5927,102.7488,2770,5.21,Palm Oil,3.89,2019
Papua,-2.8053,139.3787,3655,5.87,Rice,4.75,2022
Papua,-3.6305,140.4805,3617,5.78,Cassava,9.26,2016
Bangka-Belitung Islands,-3.1314,107.7083,2222,5.79,Pepper,1.07,2017
Banten,-6.6581,105.9821,2179,6.48,Coconut,3.89,2016
South Sulawesi,-6.1675,120.4424,2098,5.0,Cocoa,1.56,2024
Banten,-6.7264,106.1642,2013,5.75,Rice,5.5,2021
Gorontalo,0.5338,122.1168,2477,5.86,Rice,4.71,2015
North Maluku,0.7471,127.6562,2919,6.38,Nutmeg,0.99,2015
Special Region of Yogyakarta,-7.8485,110.5658,2670,5.42,Rice,5.22,2015
Bengkulu,-4.8309,103.4123,2560,5.59,Rice,4.66,2015
Aceh,4.6857,96.9301,2361,5.01,Rice,4.83,2019
Jakarta Special Capital Region,-6.1083,106.806,1914,5.5,Fruit,3.97,2016
West Kalimantan,-0.4895,112.8454,3049,5.37,Rubber,0.87,2018
West Nusa Tenggara,-8.515,117.1486,1924,5.7,Corn,4.05,2022
South Kalimantan,-3.1466,115.1786,2873,4.91,Palm Oil,4.0,2019
South Sumatra,-3.948,102.8629,2070,5.03,Rubber,0.98,2021
East Nusa Tenggara,-9.7793,120.4622,1249,5.98,Corn,4.51,2019
Papua,-3.5984,140.886,3287,5.41,Sago,10.8,2024
Gorontalo,0.5974,122.0417,2402,5.89,Rice,4.98,2017
Special Region of Yogyakarta,-8.1951,110.8328,2958,5.46,Rice,4.6,2019
West Sumatra,-0.4148,100.9306,2618,4.5,Cinnamon,0.75,2021
Jambi,-1.2913,102.5682,3028,5.21,Rubber,0.74,2015
East Java,-6.8676,111.7294,2707,5.36,Rice,4.22,2017
Central Java,-7.0494,109.1867,2999,6.77,Corn,4.33,2019
Southeast Sulawesi,-4.0779,122.0687,2087,5.0,Cocoa,1.92,2019
East Java,-7.7204,113.5587,2472,5.56,Corn,4.29,2017
Special Region of Yogyakarta,-8.0924,110.6439,2692,6.75,Soybeans,2.42,2015
Jakarta Special Capital Region,-6.1493,106.9185,1772,5.56,Fruit,4.19,2022
Central Sulawesi,-0.8773,122.5721,2505,5.48,Cocoa,1.68,2019
Riau,1.3197,100.7288,2228,4.93,Palm Oil,3.24,2022
Central Kalimantan,-2.3187,113.5938,3487,5.31,Rice,3.81,2017
East Java,-7.7903,113.094,2476,6.26,Rice,5.14,2022
West Sumatra,-0.1454,100.6105,2920,4.85,Tea,1.79,2015
Jambi,-1.5414,103.3811,2441,5.75,Rice,5.35,2015
West Papua,-1.7824,133.4332,3340,5.09,Sago,11.82,2022
Lampung,-5.5002,104.6219,1944,6.53,Sugarcane,6.13,2015
South Sulawesi,-2.4569,120.033,2050,5.17,Rice,4.24,2019
West Java,-7.6623,108.3655,2991,6.23,Rice,4.73,2018
North Kalimantan,2.8042,116.1551,2696,4.97,Palm Oil,3.65,2024
Special Region of Yogyakarta,-7.9329,110.3647,2850,5.65,Rice,4.97,2020
Aceh,4.1372,97.3902,2873,5.7,Coffee,1.2,2016
West Kalimantan,-0.0853,111.5132,3325,4.86,Rubber,0.98,2023
Bengkulu,-4.2483,103.1743,2400,5.63,Coffee,1.38,2019
Central Sulawesi,-1.1485,121.488,2388,6.1,Corn,4.56,2015
West Papua,-2.8064,133.1789,3362,5.44,Cassava,10.49,2022
South Kalimantan,-3.4221,116.3926,3020,5.09,Rubber,1.01,2021
Aceh,5.2005,96.5843,2557,5.54,Rice,5.4,2019
Lampung,-4.8953,104.6935,1979,5.34,Rice,4.69,2022
Lampung,-4.8771,104.3463,1963,6.21,Coffee,1.49,2022
Maluku,-7.835,126.1415,3062,6.49,Coconut,4.09,2019
Gorontalo,0.67,121.3599,2387,5.42,Rice,4.71,2020
Central Sulawesi,-1.3999,120.5926,2648,5.11,Cocoa,1.64,2021
North Sumatra,2.2284,100.1329,2991,4.85,Palm Oil,3.36,2021
Central Sulawesi,-1.3482,120.5258,2208,6.11,Corn,3.79,2020
East Kalimantan,1.3517,116.2846,2569,5.77,Rice,4.49,2022
West Sulawesi,-1.7295,119.3447,1961,5.15,Cocoa,1.59,2020
North Kalimantan,1.7557,114.8864,2393,5.92,Rubber,0.74,2024
Special Region of Yogyakarta,-7.7875,110.4284,2369,5.72,Rice,4.41,2018
Central Java,-6.879,111.4405,3022,5.99,Rice,4.58,2022
Southeast Sulawesi,-4.1994,122.1332,2270,5.6,Rice,4.38,2016
East Java,-7.0007,114.1649,2770,5.99,Rice,4.2,2018
Aceh,4.7811,96.9918,2542,5.62,Rice,5.45,2019
Gorontalo,0.6796,121.7197,2239,5.43,Rice,4.66,2016
West Sumatra,-1.229,98.9214,2927,5.79,Rice,4.2,2022
Central Sulawesi,-2.0364,120.8249,2223,5.45,Rice,4.98,2020
Gorontalo,0.8716,122.5104,2261,5.69,Cashew,1.07,2021
North Kalimantan,3.3945,116.3112,2697,5.87,Rice,5.14,2023
South Sulawesi,-5.1159,120.0945,2050,5.85,Corn,4.15,2018
Gorontalo,0.6386,122.3256,2527,5.76,Corn,3.7,2022
Aceh,4.0688,96.6837,2237,5.3,Rice,4.09,2021
Jambi,-1.8343,101.4747,2303,5.32,Rubber,0.97,2023
Jakarta Special Capital Region,-6.2542,106.7544,1954,6.44,Urban Vegetables,4.44,2023
East Kalimantan,0.9608,115.0851,2963,6.03,Rice,4.24,2015
Lampung,-4.5593,104.4708,1862,5.69,Rice,4.76,2015
East Kalimantan,0.7083,116.0707,2602,5.67,Rice,4.2,2016
South Kalimantan,-3.1076,114.9289,3036,5.75,Rice,4.69,2017
West Java,-7.727,108.0883,3262,5.39,Coffee,1.31,2017
North Maluku,-1.8765,124.7216,2900,5.53,Nutmeg,0.86,2017
Bangka-Belitung Islands,-2.5109,106.0326,2088,5.82,Pepper,1.13,2023
West Sulawesi,-2.6996,119.4438,2117,5.47,Rice,4.77,2024
Bengkulu,-2.8465,101.3868,2108,5.2,Rice,4.36,2016
North Sumatra,1.6089,99.7181,2831,5.32,Rubber,1.01,2024
North Kalimantan,2.7624,117.3791,2500,5.54,Rubber,0.98,2019
South Kalimantan,-2.8601,114.6137,2908,4.83,Rubber,0.97,2016
Jambi,-1.4604,104.3694,2133,5.3,Coffee,1.21,2024
West Sulawesi,-2.2446,119.3273,2119,5.0,Cocoa,1.8,2018
Special Region of Yogyakarta,-8.1383,110.727,2349,6.16,Soybeans,2.13,2024
West Java,-7.2733,108.291,3038,5.73,Rice,4.67,2017
West Nusa Tenggara,-8.6479,117.7278,1699,6.26,Corn,4.1,2016
East Java,-8.1628,111.0745,2708,5.85,Rice,4.61,2017
West Sulawesi,-1.9815,119.7735,2175,6.78,Coconut,3.84,2015
Central Sulawesi,-0.9841,120.3688,2198,5.13,Cocoa,1.68,2021
Bangka-Belitung Islands,-2.6293,107.9461,2059,5.33,Rice,4.58,2016
South Sulawesi,-2.8804,120.2007,2096,5.0,Cocoa,1.61,2021
East Kalimantan,0.633,115.4867,3182,4.97,Palm Oil,3.44,2015
Bali,-8.3472,114.6728,2405,5.67,Rice,4.25,2024
North Kalimantan,1.4308,115.2966,2807,5.48,Rice,4.86,2021
South Kalimantan,-3.3166,114.5356,2921,5.27,Rubber,1.01,2024
West Sumatra,-2.3696,100.9452,2832,5.78,Rice,4.94,2019
East Nusa Tenggara,-9.4701,119.846,1276,5.36,Rice,4.4,2020
West Sumatra,-1.4366,101.0771,2381,4.96,Tea,1.62,2019
North Kalimantan,3.333,117.3609,2916,5.65,Palm Oil,3.53,2019
Central Kalimantan,-2.1231,112.5168,3061,4.96,Palm Oil,4.11,2018
West Sulawesi,-1.5702,119.6168,1860,5.56,Cocoa,1.65,2020
West Sumatra,-1.5048,101.0672,2330,4.6,Cinnamon,0.66,2021
Jambi,-1.0174,103.1214,2325,5.33,Coffee,1.43,2023
Jakarta Special Capital Region,-6.2696,106.758,1797,5.74,Fruit,4.26,2021
West Papua,-0.0373,130.8171,3016,5.92,Sweet Potato,12.71,2019
Central Kalimantan,-2.7548,112.5046,2554,5.37,Palm Oil,3.06,2020
East Java,-6.9497,113.2049,2385,5.04,Rice,4.37,2021
Special Region of Yogyakarta,-8.0219,110.6446,2537,6.07,Corn,4.33,2016
West Nusa Tenggara,-8.508,117.3173,2028,5.51,Rice,4.27,2021
Papua,-3.1341,136.2683,3648,5.42,Sago,12.4,2024
Maluku,-3.4155,129.5386,2980,5.58,Cloves,0.99,2018
Gorontalo,0.5822,121.2932,2436,5.81,Corn,3.83,2016
East Kalimantan,2.4536,116.9863,3094,4.76,Palm Oil,3.23,2018
East Nusa Tenggara,-8.4399,122.5929,1513,5.0,Cocoa,1.77,2022
Bengkulu,-4.2199,103.1294,2400,5.96,Rice,5.01,2022
West Java,-6.8958,107.431,2957,5.67,Coffee,1.45,2015
West Sulawesi,-3.2485,119.0483,2322,5.65,Rice,4.63,2015
Bali,-8.4514,115.2901,2460,5.75,Rice,3.99,2021
South Sulawesi,-2.3919,119.8635,2135,5.84,Corn,4.56,2020
Banten,-6.8698,105.5357,1753,5.66,Corn,3.77,2023
South Sumatra,-2.5362,103.6117,2129,5.35,Rice,4.43,2020
South Kalimantan,-3.8952,115.191,2748,5.7,Rubber,0.96,2024
Bali,-8.547,115.2444,1893,5.76,Rice,4.7,2018
East Nusa Tenggara,-9.7361,119.3843,1468,5.94,Rice,4.36,2015
Bangka-Belitung Islands,-2.3713,105.915,2058,5.53,Pepper,1.16,2023
Gorontalo,0.5577,122.9464,2390,5.63,Rice,5.07,2019
Jakarta Special Capital Region,-6.2051,106.7886,1718,5.5,Fruit,3.51,2023
Lampung,-4.8503,105.6608,1906,5.31,Coffee,1.5,2017
South Kalimantan,-3.5639,116.3652,2766,5.26,Rubber,0.88,2015
West Sumatra,-0.6368,100.6681,2741,5.13,Cinnamon,0.77,2023
South Sumatra,-4.0228,104.0211,2012,5.53,Rice,4.93,2024
Jambi,-1.5056,102.7054,2461,5.94,Rice,4.97,2019
Bangka-Belitung Islands,-3.0999,107.9996,2185,5.5,Pepper,1.16,2023
West Papua,-0.3579,132.5459,3150,5.97,Sweet Potato,14.08,2021
West Nusa Tenggara,-8.3661,116.5878,1664,5.06,Rice,4.7,2023
West Sumatra,-0.5567,100.9844,2426,5.45,Rice,4.08,2022
West Sulawesi,-2.8825,119.158,2481,5.03,Cocoa,1.51,2022
Riau,1.7037,100.7859,2658,4.82,Rubber,0.98,2023
East Nusa Tenggara,-10.3465,123.5,1062,6.07,Corn,4.09,2023
West Kalimantan,1.1228,109.4559,2961,5.08,Rubber,0.86,2024
West Sulawesi,-1.4636,119.6265,2131,5.82,Rice,5.32,2019
Special Region of Yogyakarta,-7.82,110.2901,2488,5.86,Rice,4.63,2016
Bangka-Belitung Islands,-2.7204,107.8791,1932,5.0,Rubber,0.91,2017
East Java,-7.8736,114.1569,1772,6.37,Rice,4.15,2016
Gorontalo,0.767,121.6627,2390,5.17,Rice,4.37,2022
Southeast Sulawesi,-3.9512,121.9614,1845,5.5,Cashew,0.83,2023
North Kalimantan,2.1981,114.8485,2838,4.56,Palm Oil,3.94,2021
North Sumatra,1.5401,100.085,2711,5.88,Rice,5.14,2023
Bengkulu,-3.9237,102.5955,2073,5.62,Rice,4.2,2018
Lampung,-4.2548,105.1611,2440,5.74,Coffee,1.18,2019
East Kalimantan,-2.163,116.3796,2825,5.32,Palm Oil,4.34,2019
West Nusa Tenggara,-8.7075,116.4291,1719,6.59,Corn,4.57,2016
South Sumatra,-3.4188,105.2562,2040,4.5,Palm Oil,3.23,2024
Gorontalo,0.358,123.4219,2221,5.91,Corn,4.36,2016
South Sumatra,-3.2111,104.4129,2143,5.17,Palm Oil,3.91,2015
East Nusa Tenggara,-9.2035,124.5065,1569,6.11,Corn,3.88,2022
Riau Islands,3.9519,108.1676,2552,5.6,Rice,5.06,2018
West Kalimantan,1.5485,113.0339,2988,4.6,Palm Oil,3.44,2015
Banten,-6.2642,106.1419,1942,6.04,Corn,4.26,2024
East Nusa Tenggara,-8.7807,121.1904,1328,5.14,Cocoa,1.83,2019
